STATE|STATEFP|AIANNHCE|AIANNHNS|AIANNHNAME
AL|01|2865|02419057|Poarch Creek Reservation
AL|01|9240|02419024|MOWA Choctaw Reservation
AL|01|9550|02418812|Cher-O-Creek SDTSA
AL|01|9560|02418811|Cherokee Tribe of Northeast Alabama SDTSA
AL|01|9680|02418564|Echota Cherokee SDTSA
AL|01|9820|02418693|MaChis Lower Creek SDTSA
AL|01|9880|02419231|Southeastern Mvskoke Nation SDTSA
AL|01|9950|02575195|United Cherokee Ani-Yun-Wiya Nation SDTSA
AK|02|0110|01934114|Annette Island Reserve
AK|02|6015|02418754|Akhiok ANVSA
AK|02|6020|02418755|Akiachak ANVSA
AK|02|6025|02418757|Akiak ANVSA
AK|02|6030|02418758|Akutan ANVSA
AK|02|6035|02418759|Alakanuk ANVSA
AK|02|6040|02418760|Alatna ANVSA
AK|02|6045|02418763|Aleknagik ANVSA
AK|02|6065|02418765|Algaaciq ANVSA
AK|02|6070|02418766|Allakaket ANVSA
AK|02|6075|02418768|Ambler ANVSA
AK|02|6080|02418769|Anaktuvuk Pass ANVSA
AK|02|6095|02418771|Andreafsky ANVSA
AK|02|6100|02418772|Angoon ANVSA
AK|02|6105|02418773|Aniak ANVSA
AK|02|6125|02418774|Anvik ANVSA
AK|02|6140|02418776|Arctic Village ANVSA
AK|02|6150|02418779|Atka ANVSA
AK|02|6160|02418780|Atmautluak ANVSA
AK|02|6165|02418782|Atqasuk ANVSA
AK|02|6175|02418784|Barrow ANVSA
AK|02|6190|02418786|Beaver ANVSA
AK|02|6195|02418788|Belkofski ANVSA
AK|02|6205|02418790|Bethel ANVSA
AK|02|6225|02418793|Bill Moore's ANVSA
AK|02|6235|02418794|Birch Creek ANVSA
AK|02|6240|02418796|Brevig Mission ANVSA
AK|02|6250|02418797|Buckland ANVSA
AK|02|6255|02418800|Cantwell ANVSA
AK|02|6257|02575178|Canyon Village ANVSA
AK|02|6265|02418804|Chalkyitsik ANVSA
AK|02|6275|02418807|Chefornak ANVSA
AK|02|6280|02418808|Chenega ANVSA
AK|02|6285|02418813|Chevak ANVSA
AK|02|6290|02418816|Chickaloon ANVSA
AK|02|6295|02418820|Chignik ANVSA
AK|02|6300|02418821|Chignik Lagoon ANVSA
AK|02|6305|02418823|Chignik Lake ANVSA
AK|02|6310|02418825|Chilkat ANVSA
AK|02|6315|02418826|Chilkoot ANVSA
AK|02|6325|02418829|Chistochina ANVSA
AK|02|6330|02418831|Chitina ANVSA
AK|02|6335|02418834|Chuathbaluk ANVSA
AK|02|6340|02418835|Chuloonawick ANVSA
AK|02|6350|02418836|Circle ANVSA
AK|02|6360|02418839|Clarks Point ANVSA
AK|02|6365|02418846|Copper Center ANVSA
AK|02|6380|02418849|Council ANVSA
AK|02|6385|02418851|Craig ANVSA
AK|02|6390|02418852|Crooked Creek ANVSA
AK|02|6400|02418551|Deering ANVSA
AK|02|6405|02418554|Dillingham ANVSA
AK|02|6415|02418555|Dot Lake ANVSA
AK|02|6420|02418558|Douglas ANVSA
AK|02|6430|02418560|Eagle ANVSA
AK|02|6440|02418566|Eek ANVSA
AK|02|6445|02418567|Egegik ANVSA
AK|02|6450|02418569|Eklutna ANVSA
AK|02|6455|02418570|Ekuk ANVSA
AK|02|6460|02418571|Ekwok ANVSA
AK|02|6470|02575181|Elim ANVSA
AK|02|6480|02418573|Emmonak ANVSA
AK|02|6490|02418575|Evansville ANVSA
AK|02|6495|02418578|Eyak ANVSA
AK|02|6500|02418579|False Pass ANVSA
AK|02|6515|02418585|Fort Yukon ANVSA
AK|02|6520|02418592|Gakona ANVSA
AK|02|6525|02418594|Galena ANVSA
AK|02|6530|02418595|Gambell ANVSA
AK|02|6535|02418598|Georgetown ANVSA
AK|02|6540|02418601|Golovin ANVSA
AK|02|6545|02418602|Goodnews Bay ANVSA
AK|02|6550|02418603|Grayling ANVSA
AK|02|6560|02418604|Gulkana ANVSA
AK|02|6570|02418609|Hamilton ANVSA
AK|02|6575|02418613|Healy Lake ANVSA
AK|02|6585|02418617|Holy Cross ANVSA
AK|02|6590|02418618|Hoonah ANVSA
AK|02|6595|02418619|Hooper Bay ANVSA
AK|02|6605|02418621|Hughes ANVSA
AK|02|6610|02418622|Huslia ANVSA
AK|02|6615|02418623|Hydaburg ANVSA
AK|02|6620|02418625|Igiugig ANVSA
AK|02|6625|02418627|Iliamna ANVSA
AK|02|6630|02418629|Inalik ANVSA
AK|02|6650|02418632|Ivanof Bay ANVSA
AK|02|6670|02418635|Kake ANVSA
AK|02|6680|02418636|Kaktovik ANVSA
AK|02|6685|02418638|Kalskag ANVSA
AK|02|6690|02418639|Kaltag ANVSA
AK|02|6700|02418641|Karluk ANVSA
AK|02|6705|02418643|Kasaan ANVSA
