,ZCTA5,STATE,COUNTY
0,601,72,1
1,601,72,141
2,602,72,3
3,603,72,5
4,606,72,93
5,606,72,121
6,606,72,153
7,610,72,3
8,610,72,11
9,612,72,13
10,612,72,17
11,616,72,13
12,617,72,17
13,617,72,54
14,622,72,23
15,623,72,23
16,624,72,111
17,624,72,113
18,627,72,27
19,631,72,1
20,631,72,81
21,637,72,121
22,637,72,153
23,638,72,39
24,638,72,91
25,641,72,1
26,641,72,141
27,646,72,51
28,646,72,143
29,647,72,55
30,647,72,79
31,650,72,13
32,650,72,17
33,650,72,39
34,650,72,54
35,650,72,141
36,652,72,13
37,653,72,55
38,656,72,59
39,659,72,65
40,660,72,67
41,662,72,71
42,664,72,73
43,664,72,141
44,667,72,79
45,667,72,125
46,669,72,81
47,669,72,83
48,669,72,131
49,670,72,11
50,670,72,83
51,674,72,91
52,674,72,145
53,676,72,3
54,676,72,99
55,677,72,3
56,677,72,117
57,678,72,71
58,678,72,115
59,678,72,131
60,680,72,11
61,680,72,97
62,680,72,125
63,682,72,97
64,683,72,125
65,685,72,71
66,685,72,131
67,687,72,101
68,688,72,13
69,690,72,5
70,692,72,143
71,693,72,143
72,693,72,145
73,694,72,145
74,698,72,59
75,698,72,153
76,703,72,7
77,703,72,45
78,704,72,57
79,704,72,123
80,705,72,9
81,705,72,43
82,707,72,95
83,714,72,15
84,715,72,75
85,715,72,113
86,716,72,113
87,717,72,113
88,718,72,103
89,719,72,47
90,719,72,105
91,719,72,135
92,720,72,43
93,720,72,107
94,723,72,109
95,725,72,7
96,725,72,25
97,725,72,35
98,725,72,61
99,725,72,127
100,725,72,129
101,727,72,25
102,728,72,113
103,729,72,29
104,729,72,87
105,730,72,113
106,731,72,1
107,731,72,113
108,735,72,37
109,735,72,103
110,736,72,35
111,736,72,41
112,738,72,53
113,739,72,41
114,740,72,53
115,741,72,69
116,745,72,29
117,745,72,119
118,751,72,123
119,754,72,129
120,757,72,133
121,765,72,147
122,766,72,107
123,766,72,149
124,767,72,69
125,767,72,151
126,769,72,43
127,771,72,85
128,772,72,87
129,773,72,89
130,775,72,49
131,777,72,29
132,777,72,63
133,777,72,77
134,777,72,85
135,778,72,63
136,778,72,129
137,780,72,75
138,780,72,113
139,782,72,45
140,783,72,47
141,784,72,57
142,786,72,9
143,791,72,69
144,794,72,19
145,794,72,43
146,794,72,45
147,795,72,75
148,901,72,127
149,906,72,127
150,907,72,127
151,909,72,127
152,911,72,127
153,912,72,127
154,913,72,127
155,915,72,127
156,917,72,127
157,918,72,127
158,920,72,127
159,921,72,127
160,923,72,127
161,924,72,31
162,924,72,127
163,925,72,127
164,926,72,61
165,926,72,127
166,926,72,139
167,927,72,127
168,934,72,21
169,934,72,61
170,936,72,127
171,949,72,33
172,949,72,137
173,950,72,51
174,951,72,137
175,952,72,137
176,953,72,47
177,953,72,135
178,953,72,137
179,956,72,21
180,956,72,135
181,957,72,21
182,957,72,135
183,959,72,21
184,959,72,61
185,959,72,135
186,959,72,137
187,960,72,21
188,961,72,21
189,961,72,33
190,962,72,33
191,965,72,33
192,965,72,61
193,966,72,21
194,966,72,61
195,966,72,127
196,968,72,61
197,969,72,21
198,969,72,61
199,969,72,127
200,971,72,21
201,971,72,61
202,971,72,127
203,976,72,31
204,976,72,127
205,976,72,139
206,979,72,31
207,982,72,31
208,983,72,31
209,985,72,31
210,987,72,31
211,987,72,139
212,1001,25,13
213,1002,25,11
214,1002,25,15
215,1003,25,15
216,1005,25,27
217,1007,25,15
218,1008,25,13
219,1009,25,13
220,1010,25,13
221,1011,25,13
222,1011,25,15
223,1012,25,15
224,1013,25,13
225,1020,25,13
226,1022,25,13
227,1026,25,15
228,1027,25,15
229,1028,25,13
230,1029,25,3
231,1030,25,13
232,1031,25,27
233,1032,25,15
234,1033,25,15
235,1034,25,13
236,1035,25,15
237,1036,25,13
238,1037,25,27
239,1038,25,15
240,1039,25,11
241,1039,25,15
242,1040,25,13
243,1050,25,13
244,1050,25,15
245,1053,25,15
246,1054,25,11
247,1056,25,13
248,1057,25,13
249,1060,25,15
250,1062,25,15
251,1063,25,15
252,1066,25,15
253,1068,25,27
254,1069,25,13
255,1070,25,15
256,1071,25,13
257,1072,25,11
258,1073,25,15
259,1074,25,27
260,1075,25,15
261,1077,25,13
262,1079,25,13
263,1080,25,13
264,1081,25,13
265,1082,25,15
266,1082,25,27
267,1083,25,27
268,1084,25,15
269,1085,25,13
270,1086,25,13
271,1088,25,15
272,1089,25,13
273,1092,25,27
274,1093,25,11
275,1094,25,27
276,1095,25,13
277,1096,25,15
278,1097,25,13
279,1098,25,15
280,1103,25,13
281,1104,25,13
282,1105,25,13
283,1106,25,13
284,1107,25,13
285,1108,25,13
286,1109,25,13
287,1118,25,13
288,1119,25,13
289,1128,25,13
290,1129,25,13
291,1151,25,13
292,1199,25,13
293,1201,25,3
294,1220,25,3
295,1222,25,3
296,1223,25,3
297,1224,25,3
298,1225,25,3
299,1226,25,3
300,1229,25,3
301,1230,25,3
302,1235,25,3
303,1236,25,3
304,1237,25,3
305,1238,25,3
306,1240,25,3
307,1242,25,3
308,1243,25,15
309,1244,25,3
310,1245,25,3
311,1247,25,3
312,1253,25,3
313,1254,25,3
314,1255,25,3
315,1256,25,3
316,1257,25,3
317,1258,25,3
318,1259,25,3
319,1260,25,3
320,1262,25,3
321,1264,25,3
322,1266,25,3
323,1267,25,3
324,1270,25,3
325,1301,25,11
326,1330,25,11
327,1331,25,27
328,1337,25,11
329,1338,25,11
330,1339,25,11
331,1340,25,11
332,1341,25,11
333,1342,25,11
334,1343,25,3
335,1344,25,11
336,1346,25,11
337,1347,25,11
338,1349,25,11
339,1350,25,11
340,1351,25,11
341,1354,25,11
342,1355,25,11
343,1360,25,11
344,1364,25,11
345,1366,25,27
346,1367,25,11
347,1368,25,27
348,1370,25,11
349,1373,25,11
350,1375,25,11
351,1376,25,11
352,1378,25,11
353,1379,25,11
354,1420,25,27
355,1430,25,27
356,1431,25,17
357,1432,25,17
358,1434,25,17
359,1434,25,27
360,1436,25,27
361,1438,25,27
362,1440,25,27
363,1450,25,17
364,1451,25,27
365,1452,25,27
366,1453,25,27
367,1460,25,17
368,1462,25,27
369,1463,25,17
370,1464,25,17
371,1467,25,27
372,1468,25,27
373,1469,25,17
374,1473,25,27
375,1474,25,17
376,1475,25,27
377,1501,25,27
378,1503,25,27
379,1504,25,27
380,1505,25,27
381,1506,25,27
382,1507,25,27
383,1510,25,27
384,1515,25,27
385,1516,25,27
386,1518,25,27
387,1519,25,27
388,1520,25,27
389,1521,25,13
390,1522,25,27
391,1523,25,27
392,1524,25,27
393,1525,25,27
394,1527,25,27
395,1529,25,27
396,1531,25,27
397,1532,25,27
398,1534,25,27
399,1535,25,27
400,1536,25,27
401,1537,25,27
402,1540,25,27
403,1541,25,27
404,1542,25,27
405,1543,25,27
406,1545,25,27
407,1550,25,27
408,1560,25,27
409,1561,25,27
410,1562,25,27
411,1564,25,27
412,1566,25,27
413,1568,25,27
414,1569,25,27
415,1570,25,27
416,1571,25,27
417,1581,25,27
418,1583,25,27
419,1585,25,27
420,1588,25,27
421,1590,25,27
422,1602,25,27
423,1603,25,27
424,1604,25,27
425,1605,25,27
426,1606,25,27
427,1607,25,27
428,1608,25,27
429,1609,25,27
430,1610,25,27
431,1611,25,27
432,1612,25,27
433,1701,25,17
434,1702,25,17
435,1718,25,17
436,1719,25,17
437,1720,25,17
438,1721,25,17
439,1730,25,17
440,1731,25,17
441,1740,25,27
442,1741,25,17
443,1742,25,17
444,1745,25,27
445,1746,25,17
446,1747,25,27
447,1748,25,17
448,1749,25,17
449,1752,25,17
450,1754,25,17
451,1756,25,27
452,1757,25,27
453,1760,25,17
454,1770,25,17
455,1772,25,27
456,1773,25,17
457,1775,25,17
458,1776,25,17
459,1778,25,17
460,1801,25,17
461,1803,25,17
462,1810,25,9
463,1821,25,17
464,1824,25,17
465,1826,25,17
466,1827,25,17
467,1830,25,9
468,1832,25,9
469,1833,25,9
470,1834,25,9
471,1835,25,9
472,1840,25,9
473,1841,25,9
474,1843,25,9
475,1844,25,9
476,1845,25,9
477,1850,25,17
478,1851,25,17
479,1852,25,17
480,1854,25,17
481,1860,25,9
482,1862,25,17
483,1863,25,17
484,1864,25,17
485,1867,25,17
486,1876,25,17
487,1879,25,17
488,1880,25,17
489,1886,25,17
490,1887,25,17
491,1890,25,17
492,1901,25,9
493,1902,25,9
494,1904,25,9
495,1905,25,9
496,1906,25,9
497,1907,25,9
498,1908,25,9
499,1913,25,9
500,1915,25,9
501,1921,25,9
502,1922,25,9
503,1923,25,9
504,1929,25,9
505,1930,25,9
506,1937,25,9
507,1938,25,9
508,1940,25,9
509,1940,25,17
510,1944,25,9
511,1945,25,9
512,1949,25,9
513,1950,25,9
514,1951,25,9
515,1952,25,9
516,1960,25,9
517,1966,25,9
518,1969,25,9
519,1970,25,9
520,1982,25,9
521,1983,25,9
522,1984,25,9
523,1985,25,9
524,2019,25,21
525,2021,25,21
526,2025,25,21
527,2026,25,21
528,2030,25,21
529,2032,25,21
530,2035,25,21
531,2038,25,21
532,2043,25,23
533,2045,25,23
534,2047,25,23
535,2048,25,5
536,2050,25,23
537,2052,25,21
538,2053,25,21
539,2054,25,21
540,2056,25,21
541,2061,25,23
542,2062,25,21
543,2066,25,23
544,2067,25,21
545,2071,25,21
546,2072,25,21
547,2081,25,21
548,2090,25,21
549,2093,25,21
550,2108,25,25
551,2109,25,25
552,2110,25,25
553,2111,25,25
554,2113,25,25
555,2114,25,25
556,2115,25,25
557,2116,25,25
558,2118,25,25
559,2119,25,25
560,2120,25,25
561,2121,25,25
562,2122,25,25
563,2124,25,25
564,2125,25,25
565,2126,25,25
566,2127,25,25
567,2128,25,25
568,2129,25,25
569,2130,25,25
570,2131,25,25
571,2132,25,25
572,2134,25,25
573,2135,25,25
574,2136,25,25
575,2138,25,17
576,2139,25,17
577,2140,25,17
578,2141,25,17
579,2142,25,17
580,2143,25,17
581,2144,25,17
582,2145,25,17
583,2148,25,17
584,2149,25,17
585,2149,25,25
586,2150,25,25
587,2151,25,25
588,2152,25,25
589,2155,25,17
590,2163,25,25
591,2169,25,21
592,2170,25,21
593,2171,25,21
594,2176,25,17
595,2180,25,17
596,2184,25,21
597,2186,25,21
598,2188,25,21
599,2189,25,21
600,2190,25,21
601,2191,25,21
602,2199,25,25
603,2203,25,25
604,2210,25,25
605,2215,25,21
606,2215,25,25
607,2301,25,23
608,2302,25,23
609,2322,25,21
610,2324,25,23
611,2330,25,23
612,2332,25,23
613,2333,25,23
614,2338,25,23
615,2339,25,23
616,2341,25,23
617,2343,25,21
618,2346,25,23
619,2347,25,23
620,2351,25,23
621,2356,25,5
622,2357,25,5
623,2359,25,23
624,2360,25,23
625,2364,25,23
626,2366,25,23
627,2367,25,23
628,2368,25,21
629,2370,25,23
630,2375,25,5
631,2379,25,23
632,2382,25,23
633,2420,25,17
634,2421,25,17
635,2445,25,21
636,2446,25,21
637,2451,25,17
638,2452,25,17
639,2453,25,17
640,2457,25,21
641,2458,25,17
642,2459,25,17
643,2460,25,17
644,2461,25,17
645,2462,25,17
646,2464,25,17
647,2465,25,17
648,2466,25,17
649,2467,25,17
650,2467,25,21
651,2467,25,25
652,2468,25,17
653,2472,25,17
654,2474,25,17
655,2476,25,17
656,2478,25,17
657,2481,25,21
658,2482,25,21
659,2492,25,21
660,2493,25,17
661,2494,25,21
662,2532,25,1
663,2532,25,23
664,2534,25,1
665,2535,25,7
666,2536,25,1
667,2537,25,1
668,2538,25,23
669,2539,25,7
670,2540,25,1
671,2542,25,1
672,2543,25,1
673,2543,25,7
674,2553,25,1
675,2554,25,19
676,2556,25,1
677,2557,25,7
678,2558,25,23
679,2559,25,1
680,2561,25,1
681,2562,25,1
682,2563,25,1
683,2564,25,19
684,2568,25,7
685,2571,25,23
686,2575,25,7
687,2576,25,23
688,2584,25,19
689,2601,25,1
690,2630,25,1
691,2631,25,1
692,2632,25,1
693,2633,25,1
694,2635,25,1
695,2637,25,1
696,2638,25,1
697,2639,25,1
698,2641,25,1
699,2642,25,1
700,2643,25,1
701,2644,25,1
702,2645,25,1
703,2646,25,1
704,2647,25,1
705,2648,25,1
706,2649,25,1
707,2650,25,1
708,2651,25,1
709,2652,25,1
710,2653,25,1
711,2655,25,1
712,2657,25,1
713,2659,25,1
714,2660,25,1
715,2663,25,1
716,2664,25,1
717,2666,25,1
718,2667,25,1
719,2668,25,1
720,2669,25,1
721,2670,25,1
722,2671,25,1
723,2672,25,1
724,2673,25,1
725,2675,25,1
726,2702,25,5
727,2703,25,5
728,2713,25,7
729,2715,25,5
730,2717,25,5
731,2718,25,5
732,2719,25,5
733,2720,25,5
734,2721,25,5
735,2723,25,5
736,2724,25,5
737,2725,25,5
738,2726,25,5
739,2738,25,23
740,2739,25,23
741,2740,25,5
742,2743,25,5
743,2744,25,5
744,2745,25,5
745,2746,25,5
746,2747,25,5
747,2748,25,5
748,2760,25,5
749,2762,25,21
750,2763,25,5
751,2764,25,5
752,2766,25,5
753,2767,25,5
754,2769,25,5
755,2770,25,23
756,2771,25,5
757,2777,25,5
758,2779,25,5
759,2780,25,5
760,2790,25,5
761,2791,25,5
762,2802,44,7
763,2804,44,9
764,2806,44,1
765,2807,44,9
766,2808,44,9
767,2809,44,1
768,2812,44,9
769,2813,44,9
770,2814,44,7
771,2815,44,7
772,2816,44,3
773,2816,44,7
774,2817,44,3
775,2818,44,3
776,2822,44,9
777,2825,44,7
778,2826,44,7
779,2827,44,3
780,2828,44,7
781,2830,44,7
782,2831,44,3
783,2831,44,7
784,2832,44,9
785,2833,44,9
786,2835,44,5
787,2836,44,9
788,2837,44,5
789,2838,44,7
790,2839,44,7
791,2840,44,5
792,2841,44,5
793,2842,44,5
794,2852,44,9
795,2857,44,7
796,2858,44,7
797,2859,44,7
798,2860,44,7
799,2861,25,5
800,2861,44,7
801,2863,44,7
802,2864,44,7
803,2865,44,7
804,2871,44,5
805,2872,44,5
806,2873,44,9
807,2874,44,9
808,2875,44,9
809,2876,44,7
810,2878,44,5
811,2879,44,9
812,2881,44,9
813,2882,44,9
814,2885,44,1
815,2886,44,3
816,2888,44,3
817,2889,44,3
818,2891,44,9
819,2892,44,9
820,2893,44,3
821,2894,44,9
822,2895,44,7
823,2896,44,7
824,2898,44,9
825,2903,44,7
826,2904,44,7
827,2905,44,7
828,2906,44,7
829,2907,44,7
830,2908,44,7
831,2909,44,7
832,2910,44,7
833,2911,44,7
834,2912,44,7
835,2914,44,7
836,2915,44,7
837,2916,44,7
838,2917,44,7
839,2919,44,7
840,2920,44,7
841,2921,44,7
842,3031,33,11
843,3032,33,15
844,3033,33,11
845,3034,33,15
846,3036,33,15
847,3037,33,15
848,3038,33,15
849,3042,33,15
850,3043,33,11
851,3044,33,15
852,3045,33,11
853,3046,33,13
854,3047,33,11
855,3048,33,11
856,3049,33,11
857,3051,33,11
858,3052,33,11
859,3053,33,15
860,3054,33,11
861,3055,33,11
862,3057,33,11
863,3060,33,11
864,3062,33,11
865,3063,33,11
866,3064,33,11
867,3070,33,11
868,3071,33,11
869,3076,33,11
870,3077,33,15
871,3079,33,15
872,3082,33,11
873,3084,33,11
874,3086,33,11
875,3087,33,15
876,3101,33,11
877,3102,33,11
878,3103,33,11
879,3103,33,15
880,3104,33,11
881,3104,33,13
882,3106,33,13
883,3109,33,11
884,3110,33,11
885,3215,33,9
886,3216,33,13
887,3217,33,9
888,3218,33,1
889,3220,33,1
890,3220,33,13
891,3221,33,13
892,3222,33,9
893,3223,33,9
894,3224,33,13
895,3225,33,1
896,3225,33,17
897,3226,33,1
898,3227,33,3
899,3229,33,13
900,3230,33,13
901,3231,33,13
902,3233,33,13
903,3234,33,13
904,3235,33,13
905,3237,33,1
906,3238,33,9
907,3240,33,9
908,3241,33,9
909,3242,33,13
910,3243,33,13
911,3244,33,11
912,3245,33,9
913,3246,33,1
914,3249,33,1
915,3251,33,9
916,3253,33,1
917,3254,33,1
918,3254,33,3
919,3255,33,13
920,3256,33,1
921,3257,33,13
922,3258,33,13
923,3259,33,3
924,3260,33,13
925,3261,33,15
926,3262,33,9
927,3263,33,13
928,3264,33,9
929,3266,33,9
930,3268,33,13
931,3269,33,1
932,3273,33,13
933,3275,33,13
934,3276,33,1
935,3276,33,13
936,3278,33,13
937,3279,33,9
938,3280,33,19
939,3281,33,11
940,3282,33,9
941,3284,33,19
942,3285,33,9
943,3287,33,13
944,3290,33,15
945,3291,33,15
946,3293,33,9
947,3301,33,13
948,3303,33,13
949,3304,33,13
950,3307,33,13
951,3431,33,5
952,3440,33,11
953,3441,33,5
954,3442,33,11
955,3443,33,5
956,3444,33,5
957,3445,33,5
958,3446,33,5
959,3447,33,5
960,3448,33,5
961,3449,33,11
962,3450,33,5
963,3451,33,5
964,3452,33,5
965,3455,33,5
966,3456,33,5
967,3457,33,5
968,3458,33,5
969,3458,33,11
970,3461,33,5
971,3462,33,5
972,3464,33,5
973,3465,33,5
974,3466,33,5
975,3467,33,5
976,3470,33,5
977,3561,33,9
978,3570,33,7
979,3574,33,9
980,3575,33,7
981,3576,33,7
982,3579,23,17
983,3579,33,7
984,3580,33,9
985,3581,33,7
986,3582,33,7
